Year,Month,Temperature ,Rain
1921,7,28.15,563.94
1921,8,27.93,452.64
1921,9,28.11,239.82
1921,10,25.49,102.36
1921,11,22.4,12.72
1921,12,19.11,1.98
1922,1,18.62,6.28
1922,2,21.03,2.5
1922,3,25.75,35.13
1922,4,28.56,89.49
1922,5,28.83,291.99
1922,6,27.35,628.95
1922,7,27.92,637.45
1922,8,27.82,414.03
1922,9,27.92,658.11
1922,10,25.96,90.26
1922,11,23.03,3.29
1922,12,19.04,5.05
1923,1,18.63,0.2
1923,2,19.88,51.64
1923,3,24.95,37.33
1923,4,27.87,225.58
1923,5,28.2,217.67
1923,6,28.7,375.71
1923,7,27.89,264.16
1923,8,28.14,741.59
1923,9,28.09,163.07
1923,10,26.13,111.23
1923,11,22.99,21.48
1923,12,19.44,5.72
1924,1,18.49,3.75
1924,2,20.57,10.91
1924,3,26.64,0.77
1924,4,28.7,109.9
1924,5,28.21,258.38
1924,6,29.03,642.04
1924,7,27.85,572.38
1924,8,27.84,683.45
1924,9,27.4,317.5
1924,10,27.26,119.13
1924,11,22.76,143.82
1924,12,19.03,0.42
1925,1,16.94,7.44
1925,2,19.05,9.08
1925,3,24.75,18.39
1925,4,27.08,347.59
1925,5,27.17,249.36
1925,6,28,528.94
1925,7,27.64,670.23
1925,8,28.07,469.48
1925,9,27.54,219.91
1925,10,25.84,130.23
1925,11,22.52,8.96
1925,12,18.49,0.2
1926,1,18.04,14.62
1926,2,20.71,8.26
1926,3,23.84,95.84
1926,4,26.69,109.07
1926,5,27.81,227.87
1926,6,28.87,277.9
1926,7,27.86,796.27
1926,8,27.98,341.63
1926,9,28.1,258.32
1926,10,26.62,179.6
1926,11,21.97,9.41
1926,12,19.62,25.16
1927,1,18.03,17.81
1927,2,19.74,38.08
1927,3,23.17,28.58
1927,4,27.53,85.46
1927,5,27.42,260.88
1927,6,28.32,675.39
1927,7,28.23,656.57
1927,8,27.96,457.57
1927,9,27.69,272.55
1927,10,26.84,150.8
1927,11,22.73,24.66
1927,12,19.49,0
1928,1,18.5,6.3
1928,2,21.14,10.46
1928,3,25.51,4.5
1928,4,27.88,133.61
1928,5,27.8,311.07
1928,6,27.51,586.37
1928,7,27.98,589.27
1928,8,28.14,495.89
1928,9,28.42,233.43
1928,10,26.6,267.45
1928,11,22.49,10.25
1928,12,19.46,0.49
1929,1,18.37,16.72
1929,2,19.68,3.24
1929,3,25.16,60.82
1929,4,27.4,168.84
1929,5,28.39,242.22
1929,6,28.25,539.79
1929,7,27.92,611.3
1929,8,27.87,332.07
1929,9,28,250.14
1929,10,26.22,240.92
1929,11,22.39,6.37
1929,12,18.59,6.43
1930,1,17.13,5.29
1930,2,20.26,23.93
1930,3,24.84,46.88
1930,4,27.51,73.98
1930,5,28.2,249.85
1930,6,27.72,356.16
1930,7,28.07,701.19
1930,8,27.88,364.87
1930,9,28.18,221.91
1930,10,26.5,111.79
1930,11,22.58,139.85
1930,12,18.65,1.12
1931,1,19.29,2.36
1931,2,20.56,29.91
1931,3,24.63,58.54
1931,4,28.34,195.95
1931,5,27.79,293.22
1931,6,28.85,281.27
1931,7,27.73,461.88
1931,8,28.61,276.82
1931,9,27.67,347.21
1931,10,26.92,129.2
1931,11,22.33,33.17
1931,12,19.43,6.29
1932,1,18.79,1.61
1932,2,19.29,21.34
1932,3,25.35,19.26
1932,4,27.85,195.02
1932,5,27.96,382.47
1932,6,28.29,589.86
1932,7,27.95,566.61
1932,8,28.04,261.48
1932,9,28.17,288.67
1932,10,27.26,86.92
1932,11,23.28,119.14
1932,12,19.37,6.32
1933,1,17.27,10.69
1933,2,20.93,18.62
1933,3,25.46,4.25
1933,4,26.68,157.46
1933,5,27.57,329.33
1933,6,27.71,429.11
1933,7,27.88,610.43
1933,8,27.72,411.57
1933,9,28.02,221.41
1933,10,26.79,175.59
1933,11,22.58,4.34
1933,12,19.08,2.63
1934,1,17.98,7.59
1934,2,20.29,39.56
1934,3,25.06,22.88
1934,4,27.94,133.7
1934,5,28.24,326.38
1934,6,27.53,371.79
1934,7,28.1,575.56
1934,8,28.06,316.37
1934,9,28.43,747.34
1934,10,26.26,223.75
1934,11,22.18,32.36
1934,12,19.03,7.33
1935,1,17.65,4.94
1935,2,20.69,25.33
1935,3,25.38,20.29
1935,4,27.36,99.91
1935,5,29.34,156.9
1935,6,28.53,552.28
1935,7,28.4,373.4
1935,8,27.53,633.87
1935,9,28.02,250.75
1935,10,26.87,47.22
1935,11,23.21,17.87
1935,12,19.09,2.28
1936,1,17.66,5.31
1936,2,19.95,25.27
1936,3,25.61,23.7
1936,4,28.13,158.12
1936,5,27.75,394.92
1936,6,27.16,533.73
1936,7,27.91,570.41
1936,8,28.3,310.98
1936,9,27.85,366.7
1936,10,26.13,228.99
1936,11,23.71,7.67
1936,12,19.69,21.56
1937,1,17.15,0.03
1937,2,20.25,30.14
1937,3,24.31,5.99
1937,4,28.07,103.29
1937,5,27.81,403.94
1937,6,28.24,390.08
1937,7,28.59,335.54
1937,8,27.91,501.75
1937,9,28.23,296.26
1937,10,26.62,180.11
1937,11,22.68,7.06
1937,12,19.2,1.36
1938,1,19.27,10.5
1938,2,19.42,11.84
1938,3,26.19,14.81
1938,4,29.11,69.32
1938,5,27.23,465.27
1938,6,27.7,717.3
1938,7,27.8,547.37
1938,8,28.11,614.13
1938,9,28.53,220.83
1938,10,27.21,122.56
1938,11,21.87,46.79
1938,12,18.93,0.16
1939,1,18.96,1.58
1939,2,21.09,15.51
1939,3,24.87,15.53
1939,4,28.88,50.4
1939,5,28.41,321.01
1939,6,28.11,503.85
1939,7,27.72,609.83
1939,8,27.92,458.45
1939,9,27.79,354.55
1939,10,26.61,226.98
1939,11,22.88,7.2
1939,12,19.42,2.27
1940,1,17.82,0.09
1940,2,20.39,28.82
1940,3,23.12,123.37
1940,4,27.99,188.58
1940,5,27.96,356.94
1940,6,28.35,459.4
1940,7,27.86,345.62
1940,8,28.26,651.6
1940,9,27.96,291.11
1940,10,27.09,134.95
1940,11,23.95,4.55
1940,12,19.73,7.22
1941,1,18.43,9.5
1941,2,20.98,18.15
1941,3,26.25,11.29
1941,4,28.48,243.23
1941,5,28.32,327.27
1941,6,27.75,783.68
1941,7,28.2,460.04
1941,8,28.35,578.41
1941,9,28.17,222.54
1941,10,26.44,264.91
1941,11,22.49,69.07
1941,12,20.36,3.15
1942,1,18.52,5.15
1942,2,20.89,24.38
1942,3,25.44,39.35
1942,4,27.58,170.64
1942,5,28.94,194.52
1942,6,28.91,269.78
1942,7,28.44,661.47
1942,8,27.81,443.54
1942,9,27.59,452.43
1942,10,27.08,81.35
1942,11,23.86,16.49
1942,12,19.23,0.13
1943,1,19.41,29.37
1943,2,19.54,25.46
1943,3,24.43,57.12
1943,4,26.09,333.39
1943,5,28.17,208.79
1943,6,27.92,442.53
1943,7,27.82,522.93
1943,8,27.71,509.66
1943,9,28.12,323.42
1943,10,27.01,64.81
1943,11,23.7,6.26
1943,12,20.27,0.83
1944,1,18.4,27.21
1944,2,20.1,15.23
1944,3,25.04,42.17
1944,4,26.55,145.95
1944,5,29.16,198.37
1944,6,28.9,460.27
1944,7,28.25,408.85
1944,8,28.35,429.22
1944,9,28,230.54
1944,10,26.87,88.17
1944,11,22.92,2.03
1944,12,20.39,0.35
1945,1,18.2,25.97
1945,2,19.35,17.32
1945,3,25.72,21.7
1945,4,27.58,171.73
1945,5,27.87,309.85
1945,6,28.67,383.06
1945,7,28.38,452
1945,8,28.24,358.18
1945,9,28.51,297.07
1945,10,26.28,284.82
1945,11,22.88,8.55
1945,12,18.73,0.81
1946,1,18.79,0.81
1946,2,22.28,16.24
1946,3,25.28,51.78
1946,4,26.17,267.02
1946,5,27.73,270.76
1946,6,27.88,425.06
1946,7,27.74,395.19
1946,8,28.32,538.03
1946,9,28.07,412.31
1946,10,26.12,297.26
1946,11,23.73,43.8
1946,12,20.08,0.09
1947,1,18.46,2.18
1947,2,20.83,5.68
1947,3,25.32,69.81
1947,4,28.61,107.86
1947,5,28.41,356.11
1947,6,28.52,442.62
1947,7,28.12,631.93
1947,8,28.06,446.66
1947,9,28.04,497.41
1947,10,26.11,261.15
1947,11,23.13,1.08
1947,12,20.07,30.16
1948,1,18.86,4.94
1948,2,20.55,53.18
1948,3,24.33,41.46
1948,4,27.32,265.18
1948,5,27.27,338.36
1948,6,28.33,383.86
1948,7,27.66,428.44
1948,8,27.92,504.49
1948,9,28.11,273.26
1948,10,26.27,238.59
1948,11,23.43,45.69
1948,12,18.66,0.35
1949,1,18.69,8.44
1949,2,20.2,11.14
1949,3,24.97,66.83
1949,4,25.45,325.5
1949,5,26.63,397.1
1949,6,27.95,528.72
1949,7,27.76,575
1949,8,27.88,448.98
1949,9,27.85,364.83
1949,10,27.2,124.11
1949,11,22.23,7.79
1949,12,17.69,0.24
1950,1,18.55,0.95
1950,2,20.2,37.17
1950,3,24.46,36.9
1950,4,27.71,77.31
1950,5,28.48,208.92
1950,6,27.85,562.63
1950,7,27.77,429.56
1950,8,27.38,516.67
1950,9,28.14,204.39
1950,10,26.64,194.6
1950,11,22.31,110.72
1950,12,19.19,0.81
1951,1,17.79,1.47
1951,2,20.55,0.01
1951,3,24.82,48.02
1951,4,27.27,134.69
1951,5,28.21,201.18
1951,6,28.08,424.82
1951,7,27.79,639.22
1951,8,28.38,461.46
1951,9,28.11,326.63
1951,10,27.3,261.51
1951,11,23.26,38.41
1951,12,20.33,2.74
1952,1,18.95,2.82
1952,2,21.91,2.51
1952,3,24.08,58.9
1952,4,27.07,255.3
1952,5,27.6,288.57
1952,6,28.42,504.86
1952,7,27.73,603.29
1952,8,28.03,342.2
1952,9,27.74,352.4
1952,10,26.97,273.72
1952,11,23.06,49.2
1952,12,19.04,1.44
1953,1,17.72,13.73
1953,2,21.43,7.79
1953,3,26.03,64.18
1953,4,28.25,114.38
1953,5,28.05,317.32
1953,6,27.76,543.46
1953,7,27.72,652.12
1953,8,28.15,397.15
1953,9,27.74,415.96
1953,10,26.47,119.56
1953,11,22.62,17.19
1953,12,20.58,0.75
1954,1,17.29,15.66
1954,2,22.2,20.58
1954,3,25.24,23.32
1954,4,29.13,91.17
1954,5,28.89,250.97
1954,6,27.21,683.14
1954,7,27.82,466.43
1954,8,28.01,450.3
1954,9,28.13,212.26
1954,10,25.73,177.78
1954,11,21.67,0.14
1954,12,19.32,6.71
1955,1,17.99,4.17
1955,2,20.22,2.56
1955,3,25.52,63.02
1955,4,27.23,117.46
1955,5,28.64,214.98
1955,6,28.11,477.06
1955,7,27.36,549
1955,8,27.62,451.5
1955,9,27.98,265.45
1955,10,27.05,171.88
1955,11,23.09,115.43
1955,12,18.58,0.83
1956,1,18.28,12.15
1956,2,19.8,4.22
1956,3,25.38,83.92
1956,4,27.95,118.75
1956,5,28.1,287.92
1956,6,27.12,595.06
1956,7,27.66,483.28
1956,8,27.93,510.98
1956,9,27.61,338.26
1956,10,26.89,173.32
1956,11,22.98,55.28
1956,12,19.39,4.09
1957,1,18.65,21.39
1957,2,19.51,27.39
1957,3,24.02,12.67
1957,4,28.37,68.78
1957,5,29.27,129.99
1957,6,28.44,412.54
1957,7,28.07,527.15
1957,8,28.49,339.04
1957,9,28.2,230.86
1957,10,26.48,78.54
1957,11,22.66,0.52
1957,12,19.67,1.44
1958,1,19.77,4.37
1958,2,20.72,31.31
1958,3,25.57,18.08
1958,4,28.58,137.77
1958,5,28.84,214.46
1958,6,29.42,226.44
1958,7,28.48,401.13
1958,8,27.95,476.31
1958,9,28.32,268.08
1958,10,27.49,166.99
1958,11,23.66,6.81
1958,12,20.11,2.77
1959,1,18.52,25.29
1959,2,19.86,20.48
1959,3,24.66,83.17
1959,4,28.17,122.49
1959,5,28.3,359.43
1959,6,28.17,465.97
